Indicator,Province,Cost Per Day (CAD)
Prostate Cancer Surgery,New Brunswick,2580
Prostate Cancer Surgery,Prince Edward Island,2670
Lung Cancer Surgery,British Columbia,4000
Lung Cancer Surgery,Alberta,4400
Lung Cancer Surgery,Saskatchewan,3800
Lung Cancer Surgery,Manitoba,3600
Lung Cancer Surgery,Ontario,3400
Lung Cancer Surgery,Quebec,3200
Lung Cancer Surgery,Newfoundland and Labrador,3480
Lung Cancer Surgery,Nova Scotia,3520
Lung Cancer Surgery,New Brunswick,3440
Lung Cancer Surgery,Prince Edward Island,3560
CT Scan,British Columbia,1500
CT Scan,Alberta,1650
CT Scan,Saskatchewan,1425
CT Scan,Manitoba,1350
CT Scan,Ontario,1275
CT Scan,Quebec,1200
CT Scan,Newfoundland and Labrador,1305
CT Scan,Nova Scotia,1320
CT Scan,New Brunswick,1290
CT Scan,Prince Edward Island,1335
MRI Scan,British Columbia,5000
MRI Scan,Alberta,5500
MRI Scan,Saskatchewan,4750
MRI Scan,Manitoba,4500
MRI Scan,Ontario,4250
MRI Scan,Quebec,4000
MRI Scan,Newfoundland and Labrador,4350
MRI Scan,Nova Scotia,4400
MRI Scan,New Brunswick,4300
MRI Scan,Prince Edward Island,4450
