Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,British Columbia,Fraser Health,Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,British Columbia,Fraser Health,CT Scan,50th Percentile,2008,Days,19.5
Provincial,British Columbia,Fraser Health,CT Scan,90th Percentile,2008,Days,71.0
Provincial,British Columbia,Fraser Health,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,British Columbia,Fraser Health,Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,British Columbia,Fraser Health,Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,British Columbia,Fraser Health,Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,British Columbia,Fraser Health,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,British Columbia,Fraser Health,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,British Columbia,Fraser Health,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,British Columbia,Fraser Health,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,British Columbia,Fraser Health,Hip Replacement,% Meeting Benchmark,2008,Proportion,78.0
Provincial,British Columbia,Fraser Health,Hip Replacement,50th Percentile,2008,Days,71.0
Provincial,British Columbia,Fraser Health,Hip Replacement,90th Percentile,2008,Days,279.0
Provincial,British Columbia,Fraser Health,Hip Replacement,Volume,2008,Number of cases,239.0
Provincial,British Columbia,Fraser Health,Knee Replacement,% Meeting Benchmark,2008,Proportion,71.0
Provincial,British Columbia,Fraser Health,Knee Replacement,50th Percentile,2008,Days,102.0
Provincial,British Columbia,Fraser Health,Knee Replacement,90th Percentile,2008,Days,332.0
Provincial,British Columbia,Fraser Health,Knee Replacement,Volume,2008,Number of cases,294.0
Provincial,British Columbia,Fraser Health,Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,British Columbia,Fraser Health,Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,British Columbia,Fraser Health,Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,British Columbia,Fraser Health,MRI Scan,50th Percentile,2008,Days,48.0
Provincial,British Columbia,Fraser Health,MRI Scan,90th Percentile,2008,Days,177.5
Provincial,British Columbia,Fraser Health,Prostate Cancer Surgery,50th Percentile,2008,Days,41.0
Provincial,British Columbia,Fraser Health,Prostate Cancer Surgery,90th Percentile,2008,Days,94.0
Provincial,British Columbia,Fraser Health,Prostate Cancer Surgery,Volume,2008,Number of cases,101.0
Provincial,British Columbia,Fraser Health,Radiation Therapy,% Meeting Benchmark,2008,Proportion,95.0
Provincial,British Columbia,Fraser Health,Radiation Therapy,50th Percentile,2008,Days,7.0
Provincial,British Columbia,Fraser Health,Radiation Therapy,90th Percentile,2008,Days,22.0
Provincial,British Columbia,Fraser Health,Radiation Therapy,Volume,2008,Number of cases,393.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CABG,% Meeting Benchmark,2008,Proportion,96.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CABG,50th Percentile,2008,Days,17.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CABG,90th Percentile,2008,Days,119.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CABG,Volume,2008,Number of cases,428.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Cataract surgery,% Meeting Benchmark,2008,Proportion,77.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Cataract surgery,50th Percentile,2008,Days,75.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Cataract surgery,90th Percentile,2008,Days,151.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CT Scan,50th Percentile,2008,Days,19.5
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,CT Scan,90th Percentile,2008,Days,71.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Replacement,% Meeting Benchmark,2008,Proportion,64.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Replacement,50th Percentile,2008,Days,139.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Replacement,90th Percentile,2008,Days,362.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Hip Replacement,Volume,2008,Number of cases,646.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Knee Replacement,% Meeting Benchmark,2008,Proportion,52.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Knee Replacement,50th Percentile,2008,Days,174.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Knee Replacement,90th Percentile,2008,Days,479.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Knee Replacement,Volume,2008,Number of cases,294.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,MRI Scan,50th Percentile,2008,Days,48.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,MRI Scan,90th Percentile,2008,Days,177.5
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Prostate Cancer Surgery,50th Percentile,2008,Days,41.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Prostate Cancer Surgery,90th Percentile,2008,Days,94.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Prostate Cancer Surgery,Volume,2008,Number of cases,101.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Radiation Therapy,% Meeting Benchmark,2008,Proportion,99.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Radiation Therapy,50th Percentile,2008,Days,5.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Radiation Therapy,90th Percentile,2008,Days,23.0
Provincial,Manitoba,Interlake–Eastern Regional Health Authority,Radiation Therapy,Volume,2008,Number of cases,393.0
Provincial,New Brunswick,Horizon Health Network,Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,New Brunswick,Horizon Health Network,Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,New Brunswick,Horizon Health Network,Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,New Brunswick,Horizon Health Network,Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,New Brunswick,Horizon Health Network,Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,New Brunswick,Horizon Health Network,Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,New Brunswick,Horizon Health Network,CABG,% Meeting Benchmark,2008,Proportion,95.0
Provincial,New Brunswick,Horizon Health Network,CABG,50th Percentile,2008,Days,3.0
Provincial,New Brunswick,Horizon Health Network,CABG,90th Percentile,2008,Days,131.0
Provincial,New Brunswick,Horizon Health Network,CABG,Volume,2008,Number of cases,214.0
Provincial,New Brunswick,Horizon Health Network,Cataract surgery,% Meeting Benchmark,2008,Proportion,74.0
Provincial,New Brunswick,Horizon Health Network,Cataract surgery,50th Percentile,2008,Days,57.0
Provincial,New Brunswick,Horizon Health Network,Cataract surgery,90th Percentile,2008,Days,194.0
Provincial,New Brunswick,Horizon Health Network,Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,New Brunswick,Horizon Health Network,Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,New Brunswick,Horizon Health Network,Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
Provincial,New Brunswick,Horizon Health Network,Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,New Brunswick,Horizon Health Network,CT Scan,50th Percentile,2008,Days,19.5
Provincial,New Brunswick,Horizon Health Network,CT Scan,90th Percentile,2008,Days,71.0
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,New Brunswick,Horizon Health Network,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,New Brunswick,Horizon Health Network,Hip Replacement,% Meeting Benchmark,2008,Proportion,66.0
Provincial,New Brunswick,Horizon Health Network,Hip Replacement,50th Percentile,2008,Days,140.0
Provincial,New Brunswick,Horizon Health Network,Hip Replacement,90th Percentile,2008,Days,309.0
Provincial,New Brunswick,Horizon Health Network,Hip Replacement,Volume,2008,Number of cases,300.0
Provincial,New Brunswick,Horizon Health Network,Knee Replacement,% Meeting Benchmark,2008,Proportion,55.0
Provincial,New Brunswick,Horizon Health Network,Knee Replacement,50th Percentile,2008,Days,167.0
Provincial,New Brunswick,Horizon Health Network,Knee Replacement,90th Percentile,2008,Days,408.0
Provincial,New Brunswick,Horizon Health Network,Knee Replacement,Volume,2008,Number of cases,538.0
Provincial,New Brunswick,Horizon Health Network,Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,New Brunswick,Horizon Health Network,Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,New Brunswick,Horizon Health Network,Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,New Brunswick,Horizon Health Network,MRI Scan,50th Percentile,2008,Days,48.0
Provincial,New Brunswick,Horizon Health Network,MRI Scan,90th Percentile,2008,Days,177.5
Provincial,New Brunswick,Horizon Health Network,Prostate Cancer Surgery,50th Percentile,2008,Days,41.0
Provincial,New Brunswick,Horizon Health Network,Prostate Cancer Surgery,90th Percentile,2008,Days,94.0
Provincial,New Brunswick,Horizon Health Network,Prostate Cancer Surgery,Volume,2008,Number of cases,101.0
Provincial,New Brunswick,Horizon Health Network,Radiation Therapy,% Meeting Benchmark,2008,Proportion,94.0
Provincial,New Brunswick,Horizon Health Network,Radiation Therapy,50th Percentile,2008,Days,9.0
Provincial,New Brunswick,Horizon Health Network,Radiation Therapy,90th Percentile,2008,Days,22.0
Provincial,New Brunswick,Horizon Health Network,Radiation Therapy,Volume,2008,Number of cases,393.0
Provincial,Newfoundland and Labrador,Central Health,Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,Newfoundland and Labrador,Central Health,Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,Newfoundland and Labrador,Central Health,Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,Newfoundland and Labrador,Central Health,Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,Newfoundland and Labrador,Central Health,Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,Newfoundland and Labrador,Central Health,Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,Newfoundland and Labrador,Central Health,CABG,% Meeting Benchmark,2008,Proportion,95.0
Provincial,Newfoundland and Labrador,Central Health,CABG,50th Percentile,2008,Days,7.0
Provincial,Newfoundland and Labrador,Central Health,CABG,90th Percentile,2008,Days,67.5
Provincial,Newfoundland and Labrador,Central Health,CABG,Volume,2008,Number of cases,210.0
Provincial,Newfoundland and Labrador,Central Health,Cataract surgery,% Meeting Benchmark,2008,Proportion,67.5
Provincial,Newfoundland and Labrador,Central Health,Cataract surgery,50th Percentile,2008,Days,73.5
Provincial,Newfoundland and Labrador,Central Health,Cataract surgery,90th Percentile,2008,Days,213.0
Provincial,Newfoundland and Labrador,Central Health,Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,Newfoundland and Labrador,Central Health,Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,Newfoundland and Labrador,Central Health,Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
Provincial,Newfoundland and Labrador,Central Health,Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,Newfoundland and Labrador,Central Health,CT Scan,50th Percentile,2008,Days,19.5
Provincial,Newfoundland and Labrador,Central Health,CT Scan,90th Percentile,2008,Days,71.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,Newfoundland and Labrador,Central Health,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,% Meeting Benchmark,2008,Proportion,71.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,50th Percentile,2008,Days,117.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,90th Percentile,2008,Days,280.0
Provincial,Newfoundland and Labrador,Central Health,Hip Replacement,Volume,2008,Number of cases,164.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,% Meeting Benchmark,2008,Proportion,63.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,50th Percentile,2008,Days,143.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,90th Percentile,2008,Days,325.0
Provincial,Newfoundland and Labrador,Central Health,Knee Replacement,Volume,2008,Number of cases,287.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,Newfoundland and Labrador,Central Health,Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,Newfoundland and Labrador,Central Health,MRI Scan,50th Percentile,2008,Days,48.0
Provincial,Newfoundland and Labrador,Central Health,MRI Scan,90th Percentile,2008,Days,177.5
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,50th Percentile,2008,Days,41.0
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,90th Percentile,2008,Days,94.0
Provincial,Newfoundland and Labrador,Central Health,Prostate Cancer Surgery,Volume,2008,Number of cases,101.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,% Meeting Benchmark,2008,Proportion,85.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,50th Percentile,2008,Days,9.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,90th Percentile,2008,Days,22.0
Provincial,Newfoundland and Labrador,Central Health,Radiation Therapy,Volume,2008,Number of cases,823.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,Nova Scotia,Central Zone (N.S.),Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,Nova Scotia,Central Zone (N.S.),Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,% Meeting Benchmark,2008,Proportion,100.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,50th Percentile,2008,Days,26.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,90th Percentile,2008,Days,65.0
Provincial,Nova Scotia,Central Zone (N.S.),CABG,Volume,2008,Number of cases,91.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,% Meeting Benchmark,2008,Proportion,75.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,50th Percentile,2008,Days,54.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,90th Percentile,2008,Days,199.0
Provincial,Nova Scotia,Central Zone (N.S.),Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
Provincial,Nova Scotia,Central Zone (N.S.),Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,Nova Scotia,Central Zone (N.S.),CT Scan,50th Percentile,2008,Days,19.5
Provincial,Nova Scotia,Central Zone (N.S.),CT Scan,90th Percentile,2008,Days,71.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,Nova Scotia,Central Zone (N.S.),Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,% Meeting Benchmark,2008,Proportion,45.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,50th Percentile,2008,Days,201.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,90th Percentile,2008,Days,642.0
Provincial,Nova Scotia,Central Zone (N.S.),Hip Replacement,Volume,2008,Number of cases,486.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,% Meeting Benchmark,2008,Proportion,46.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,50th Percentile,2008,Days,213.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,90th Percentile,2008,Days,647.0
Provincial,Nova Scotia,Central Zone (N.S.),Knee Replacement,Volume,2008,Number of cases,660.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,Nova Scotia,Central Zone (N.S.),Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,Nova Scotia,Central Zone (N.S.),MRI Scan,50th Percentile,2008,Days,48.0
Provincial,Nova Scotia,Central Zone (N.S.),MRI Scan,90th Percentile,2008,Days,177.5
